"Module","FileCount","TotalFunctions","TotalStubs","StubPercentage","FilesWithDivergenceIssues"
"Engine","47","2467","605","25","19"
"SNDDSound3D","1","343","312","91","0"
"R6GameService","4","160","84","52","1"
"Core","19","1091","47","4","3"
"R6Abstract","9","53","39","74","0"
"R6Engine","36","443","28","6","5"
"R6Game","11","70","15","21","0"
"Launch","1","36","10","28","0"
"SNDext","1","33","10","30","0"
"DareAudio","1","74","9","12","0"
"WinDrv","1","56","7","12","1"
"D3DDrv","1","34","4","12","0"
"Fire","1","76","4","5","0"
"R6Weapons","7","31","3","10","0"
"IpDrv","1","75","1","1","1"
"Window","1","6","1","17","1"
